fold,unique_id,train_end_before_target,max_lag_available_in_train,target_rows,train_rows
0,subnet_322__URLLC,True,True,36,2016
0,subnet_322__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_322__eMBB,True,True,36,2016
0,subnet_322__mMTC,True,True,36,2016
0,subnet_324__URLLC,True,True,36,2016
0,subnet_324__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_324__eMBB,True,True,36,2016
0,subnet_324__mMTC,True,True,36,2016
0,subnet_32__URLLC,True,True,36,2016
0,subnet_32__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_32__eMBB,True,True,36,2016
0,subnet_32__mMTC,True,True,36,2016
0,subnet_330__URLLC,True,True,36,2016
0,subnet_330__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_330__eMBB,True,True,36,2016
0,subnet_330__mMTC,True,True,36,2016
0,subnet_332__URLLC,True,True,36,2016
0,subnet_332__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_332__eMBB,True,True,36,2016
0,subnet_332__mMTC,True,True,36,2016
0,subnet_336__URLLC,True,True,36,2016
0,subnet_336__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_336__eMBB,True,True,36,2016
0,subnet_336__mMTC,True,True,36,2016
0,subnet_337__URLLC,True,True,36,2016
0,subnet_337__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_337__eMBB,True,True,36,2016
0,subnet_337__mMTC,True,True,36,2016
0,subnet_342__URLLC,True,True,36,2016
0,subnet_342__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_342__eMBB,True,True,36,2016
0,subnet_342__mMTC,True,True,36,2016
0,subnet_356__URLLC,True,True,36,2016
0,subnet_356__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_356__eMBB,True,True,36,2016
0,subnet_356__mMTC,True,True,36,2016
0,subnet_36__URLLC,True,True,36,2016
0,subnet_36__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_36__eMBB,True,True,36,2016
0,subnet_36__mMTC,True,True,36,2016
0,subnet_373__URLLC,True,True,36,2016
0,subnet_373__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_373__eMBB,True,True,36,2016
0,subnet_373__mMTC,True,True,36,2016
0,subnet_38__URLLC,True,True,36,2016
0,subnet_38__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_38__eMBB,True,True,36,2016
0,subnet_38__mMTC,True,True,36,2016
0,subnet_415__URLLC,True,True,36,2016
0,subnet_415__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_415__eMBB,True,True,36,2016
0,subnet_415__mMTC,True,True,36,2016
0,subnet_418__URLLC,True,True,36,2016
0,subnet_418__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_418__eMBB,True,True,36,2016
0,subnet_418__mMTC,True,True,36,2016
0,subnet_419__URLLC,True,True,36,2016
0,subnet_419__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_419__eMBB,True,True,36,2016
0,subnet_419__mMTC,True,True,36,2016
0,subnet_438__URLLC,True,True,36,2016
0,subnet_438__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_438__eMBB,True,True,36,2016
0,subnet_438__mMTC,True,True,36,2016
0,subnet_449__URLLC,True,True,36,2016
0,subnet_449__URLLC_eMBB_MIX,True,True,36,2016
0,subnet_449__mMTC,True,True,36,2016
